url,question_text,image_urls
https://www.hackerrank.com/challenges/box-operations?isFullScreen=true,"Alice purchased an array of
wooden boxes that she indexed from
to
. On each box
, she writes an integer that we'll refer to as
.
Alice wants you to perform
operations
on the array of boxes. Each operation is in one of the following forms:
(Note: For each type of operations,
)
1 l r c
: Add
to each
. Note that
can be negative.
2 l r d
: Replace each
with
.
3 l r
: Print the minimum value of any
.
4 l r
: Print the sum of all
.
Recall that
is the maximum integer
such that
(e.g.,
and
).
Given
, the value of each
, and
operations, can you perform all the operations efficiently?
Input Format
The first line contains two space-separated integers denoting the respective values of
(the number of boxes) and
(the number of operations).
The second line contains
space-separated integers describing the respective values of
(i.e., the integers written on each box).
Each of the
subsequent lines describes an
operation
in one of the four formats defined above.
Constraints
Output Format
For each operation of type
or type
, print the answer on a new line.
Sample Input 0
10 10
-5 -4 -3 -2 -1 0 1 2 3 4
1 0 4 1
1 5 9 1
2 0 9 3
3 0 9
4 0 9
3 0 1
4 2 3
3 4 5
4 6 7
3 8 9
Sample Output 0
-2
-2
-2
-2
0
1
1
Explanation 0
Initially, the array of boxes looks like this:
https://s3.amazonaws.com/hr-challenge-images/0/1484766100-6ec346abf0-boxes.png
We perform the following sequence of operations on the array of boxes:
The first operation is
1 0 4 1
, so we add
to each
where
:
https://s3.amazonaws.com/hr-challenge-images/0/1484766285-5aeb591de3-boxes1.png
The second operation is
1 5 9 1
, so we add
to each
where
:
https://s3.amazonaws.com/hr-challenge-images/0/1484766335-f6d8bdd4dc-boxes2.png
The third operation is
2 0 9 3
, so we divide each
where
by
and take the floor:
https://s3.amazonaws.com/hr-challenge-images/0/1484766466-10eaf46b45-boxes3.png
The fourth operation is
3 0 9
, so we print the minimum value of
for
, which is the result of
.
The fifth operation is
4 0 9
, so we print the sum of
for
, which is the result of
.
... and so on.",
https://www.hackerrank.com/challenges/is-binary-search-tree?isFullScreen=true,"For the purposes of this challenge, we define a
binary tree
to be a
binary search tree
with the following ordering requirements:
The
value of every node in a node's left subtree is
less than
the data value of that node.
The
value of every node in a node's right subtree is
greater than
the data value of that node.
Given the root node of a binary tree, can you determine if it's also a binary search tree?
Complete the function in your editor below, which has
parameter: a pointer to the root of a binary tree. It must return a
boolean
denoting whether or not the binary tree is a binary search tree. You may have to write one or more helper functions to complete this challenge.
Input Format
You are not responsible for reading any input from stdin. Hidden code stubs will assemble a binary tree and pass its root node to your function as an argument.
Constraints
Output Format
You are not responsible for printing any output to stdout. Your function must return
true
if the tree is a binary search tree; otherwise, it must return
false
. Hidden code stubs will print this result as a
Yes
or
No
answer on a new line.
Sample Input
https://s3.amazonaws.com/hr-challenge-images/8131/1461698192-c9e0fcb28d-BTinput.png
Sample Output
No",
https://www.hackerrank.com/challenges/array-and-simple-queries?isFullScreen=true,"Given two numbers
and
.
indicates the number of elements in the array
and
indicates number of queries. You need to perform two types of queries on the array
.
You are given
queries. Queries can be of two types, type
1
and type
2
.
Type 1 queries are represented as
1 i j
: Modify the given array by removing elements from
to
and adding them to the front.
Type 2 queries are represented as
2 i j
: Modify the given array by removing elements from
to
and adding them to the back.
Your task is to simply print
of the resulting array after the execution of
queries followed by the resulting array.
Note
While adding at back or front the order of elements is preserved.
Input Format
First line consists of two space-separated integers,
and
.
Second line contains
integers, which represent the elements of the array.
queries follow. Each line contains a query of either
type 1
or
type 2
in the form
Constraints
Output Format
Print the absolute value i.e.
in the first line.
Print elements of the resulting array in the second line. Each element should be seperated by a single space.
Sample Input
8 4
1 2 3 4 5 6 7 8
1 2 4
2 3 5
1 4 7
2 1 4
Sample Output
1
2 3 6 5 7 8 4 1
Explanation
Given array is
.
After execution of query
, the array becomes
.
After execution of query
, the array becomes
.
After execution of query
, the array becomes
.
After execution of query
, the array becomes
.
Now
is
i.e.
and the array is",
https://www.hackerrank.com/challenges/subsequence-weighting?isFullScreen=true,"A subsequence of a sequence is a sequence which is obtained by deleting zero or more elements from the sequence.
You are given a sequence
A
in which every element is a pair of integers  i.e
A
=
[(a
1
, w
1
), (a
2
, w
2
),..., (a
N
, w
N
)]
.
For a subseqence
B
=
[(b
1
, v
1
), (b
2
, v
2
), ...., (b
M
, v
M
)]
of the given sequence :
We call it increasing if for every
i
(1 <=
i
<
M
) ,
b
i
< b
i+1
.
Weight(B) = v
1
+ v
2
+ ... + v
M
.
Task:
Given a sequence, output the maximum weight formed by an increasing subsequence.
Input:
The first line of input contains a single integer
T
.
T
test-cases follow. The first line of each test-case contains an integer
N
. The next line contains
a
1
, a
2
,... , a
N
separated by a single space. The next line contains
w
1
, w
2
, ..., w
N
separated by a single space.
Output:
For each test-case output a single integer: The maximum weight of increasing subsequences of the given sequence.
Constraints:
1 <=
T
<= 5
1 <=
N
<= 150000
1 <=
a
i
<= 10
9
, where
i ∈ [1..N]
1 <=
w
i
<= 10
9
, where
i ∈ [1..N]
Sample Input:
2  
4  
1 2 3 4  
10 20 30 40  
8  
1 2 3 4 1 2 3 4  
10 20 30 40 15 15 15 50
Sample Output:
100  
110
Explanation:
In the first sequence, the maximum size increasing subsequence is 4, and there's only one of them. We choose
B = [(1, 10), (2, 20), (3, 30), (4, 40)]
, and we have
Weight(B) = 100
.
In the second sequence, the maximum size increasing subsequence is still 4, but there are now 5 possible subsequences:
1 2 3 4  
10 20 30 40

1 2 3 4  
10 20 30 50

1 2 3 4  
10 20 15 50

1 2 3 4  
10 15 15 50

1 2 3 4  
15 15 15 50
Of those, the one with the greatest weight is
B = [(1, 10), (2, 20), (3, 30), (4, 50)]
, with
Weight(B) = 110
.
Please note that this is not the maximum weight generated from picking the highest value element of each index. That value, 115, comes from [(1, 15), (2, 20), (3, 30), (4, 50)], which is not a valid subsequence because it cannot be created by only deleting elements in the original sequence.",
https://www.hackerrank.com/challenges/company-retreat?isFullScreen=true,"The
LRT Company
has
employees. Each employee has a unique ID number from
to
, where the director's ID is number
. Every employee in the company has
exactly one
immediate supervisor — except the director, who has no supervisor. The company's employee hierarchy forms a tree of employee IDs that's rooted at employee number
(the director).
The director decides to have a retreat lasting
days. Each day, the employees will be assigned to different groups for team building exercises. Groups are constructed in the following way:
An employee can invite their immediate supervisor (the director has no supervisor and, thus, doesn't invite anyone). If employee
is invited by employee
, then
and
are considered to be in the same group.
Once an employee is invited to be in a group, they are in that group. This means that if two employees have the same immediate supervisor, only one of them can invite that supervisor to be in their group.
Every employee must be in a group, even if they are the only employee in it.
The venue where
LRT
is hosting the retreat has different pricing for each of the
days of the retreat. For each day
, there is a cost of
dollars per group and a per-group size limit of
(i.e., the maximum number of people that can be in any group on that day).
Help the director find optimal groupings for each day so the cost of the
-day retreat is minimal, then print the total cost of the retreat. As this answer can be quite large, your answer must be modulo
.
Input Format
The first line contains two space-separated integers denoting the respective values of
(the number of employees) and
(the retreat's duration in days).
The next line contains
space-separated integers where each integer
denotes
(
), which is the ID number of employee
's direct supervisor.
Each line
of the
subsequent lines contain two space-separated integers describing the respective values of
(the cost per group in dollars) and
(the maximum number of people per group) for the
day of the retreat.
Constraints
Subtask
for
of the maximum possible score.
Output Format
Print a single integer denoting the minimum total cost for the
-day retreat. As this number can be quite large, print your answer modulo
.
Sample Input
7 3
1 1 3 4 2 4
5 3
6 2
1 1
Sample Output
46
Explanation
In the
Sample Case
above, the company has
employees and the retreat goes on for
days. The hierarchy looks like this:
https://s3.amazonaws.com/hr-challenge-images/21545/1468266953-21eebf40fc-company-retreat-hierarchy.png
On the first day, the cost per group is
dollars and each group has a maximum size of
. The employees split into the following three groups:
Employee
invites their manager, employee
. Employee
then invites their manager, employee
(the director).
Employee
invites their manager, employee
. Employee
then invites their manager, employee
.
Employee
's manager is already in another group, so they are in a group by themself.
These groupings are demonstrated in the following image where each group has a different pattern:
https://s3.amazonaws.com/hr-challenge-images/21545/1468268176-7d89f164d0-company-retreat-groupings.png
In other words, the final groups are
,
, and
. This means the total cost for the first day is
dollars.
On the second day, they split into
groups with a maximum size of
at a total cost of
dollars. On the third day, they split into
groups of size
at a total cost of
dollars. When we sum the costs for all three days, we get
as our answer.",
https://www.hackerrank.com/challenges/tree-coordinates?isFullScreen=true,"We consider
metric space
to be a pair,
, where
is a set and
such that the following conditions hold:
where
is the
distance
between points
and
.
Let's define the
product
of two metric spaces,
, to be
such that:
, where
,
.
So, it follows logically that
is also a metric space. We then define
squared metric space
,
, to be the product of a metric space multiplied with itself:
.
For example,
, where
is a metric space.
, where
.
In this challenge, we need a tree-space. You're given a tree,
, where
is the set of vertices and
is the set of edges. Let the function
be the distance between two vertices in tree
(i.e.,
is the number of edges on the path between vertices
and
). Note that
is a metric space.
You are given a tree,
, with
vertices, as well as
points in
. Find and print the distance between the two furthest points in this metric space!
Input Format
The first line contains two space-separated positive integers describing the respective values of
(the number of vertices in
) and
(the number of given points).
Each line
of the
subsequent lines contains two space-separated integers,
and
, describing edge
in
.
Each line
of the
subsequent lines contains two space-separated integers describing the respective values of
and
for point
.
Constraints
Scoring
This challenge uses
binary
scoring, so you
must
pass all test cases to earn a positive score.
Output Format
Print a single non-negative integer denoting the maximum distance between two of the given points in metric space
.
Sample Input 0
2 2
1 2
1 2
2 1
Sample Output 0
2
Explanation 0
The distance between points
and
is
.
Sample Input 1
7 3
1 2
2 3
3 4
4 5
5 6
6 7
3 6
4 5
5 5
Sample Output 1
3
Explanation 1
The best points are
and
, which gives us a distance of
.",
https://www.hackerrank.com/challenges/tree-huffman-decoding?isFullScreen=true,"Huffman coding
assigns variable length codewords to fixed length input characters based on their frequencies. More frequent characters are assigned shorter codewords and less frequent characters are assigned longer codewords. All edges along the path to a character contain a code digit.  If they are on the left side of the tree, they will be a
0
(zero).  If on the right, they'll be a
1
(one).  Only the leaves will contain a letter and its frequency count.  All other nodes will contain a null instead of a character, and the count of the frequency of all of it and its descendant characters.
For instance, consider the string
ABRACADABRA
.  There are a total of
characters in the string.  This number should match the count in the ultimately determined root of the tree.  Our frequencies are
and
.  The two smallest frequencies are for
and
, both equal to
, so we'll create a tree with them.  The root node will contain the sum of the counts of its descendants, in this case
.  The left node will be the first character encountered,
, and the right will contain
.  Next we have
items with a character count of
:  the tree we just created, the character
and the character
.  The tree came first, so it will go on the left of our new root node.
will go on the right.  Repeat until the tree is complete, then fill in the
's and
's for the edges.  The finished graph looks like:
https://s3.amazonaws.com/hr-assets/0/1528128577-d4e3a24f3e-huffmanExample.png
Input characters are only present in the leaves. Internal nodes have a character value of ϕ (NULL).  We can determine that our values for characters are:
A - 0
B - 111
C - 1100
D - 1101
R - 10
Our Huffman encoded string is:
A B    R  A C     A D     A B    R  A
0 111 10 0 1100 0 1101 0 111 10 0
or
01111001100011010111100
To avoid ambiguity, Huffman encoding is a prefix free encoding technique.  No codeword appears as a prefix of any other codeword.
To decode the encoded string, follow the zeros and ones to a leaf and return the character there.
You are given pointer to the root of the Huffman tree and a binary coded string to decode. You need to print the decoded string.
Function Description
Complete the function decode_huff in the editor below.  It must return the decoded string.
decode_huff has the following parameters:
root
: a reference to the root node of the Huffman tree
s
: a Huffman encoded string
Input Format
There is one line of input containing the plain string,
.  Background code creates the Huffman tree then passes the head node and the encoded string to the function.
Constraints
Output Format
Output the decoded string on a single line.
Sample Input
https://s3.amazonaws.com/hr-assets/0/1528126193-578de92bdb-huffmanSample.png
s=""1001011""
Sample Output
ABACA
Explanation
S=""1001011""
Processing the string from left to right.
S[0]='1' : we move to the right child of the root. We encounter a leaf node with value 'A'. We add 'A' to the decoded string.
We move back to the root.

S[1]='0' : we move to the left child. 
S[2]='0' : we move to the left child. We encounter a leaf node with value 'B'. We add 'B' to the decoded string.
We move back to the root.

S[3] = '1' : we move to the right child of the root. We encounter a leaf node with value 'A'. We add 'A' to the decoded string.
We move back to the root.

S[4]='0' : we move to the left child. 
S[5]='1' : we move to the right child. We encounter a leaf node with value C'. We add 'C' to the decoded string.
We move back to the root.

 S[6] = '1' : we move to the right child of the root. We encounter a leaf node with value 'A'. We add 'A' to the decoded string.
We move back to the root.

Decoded String = ""ABACA""",
https://www.hackerrank.com/challenges/are-you-an-expert-on-data-structures?isFullScreen=true,,
https://www.hackerrank.com/challenges/jenny-subtrees?isFullScreen=true,"Jenny loves experimenting with
trees
. Her favorite tree has
nodes connected by
edges, and each edge is
unit in length. She wants to cut a
subtree
(i.e., a connected part of the original tree) of radius
from this tree by performing the following two steps:
Choose a node,
, from the tree.
Cut a subtree consisting of
all
nodes which are
not further
than
units from node
.
For example, the blue nodes in the diagram below depict a subtree centered at
that has radius
:
https://s3.amazonaws.com/hr-challenge-images/0/1483075128-6989fccb33-jenny3.png
Given
,
, and the definition of Jenny's tree, find and print the number of
different
subtrees she can cut out. Two subtrees are considered to be different if they are not
isomorphic
.
Input Format
The first line contains two space-separated integers denoting the respective values of
and
.
Each of the next
subsequent lines contains two space-separated integers,
and
, describing a bidirectional edge in Jenny's tree having length
.
Constraints
Subtasks
For
of the max score:
Output Format
Print the total number of different possible subtrees.
Sample Input 0
7 1
1 2
1 3
1 4
1 5
2 6
2 7
Sample Output 0
3
Explanation 0
In the diagram below, blue nodes denote the possible subtrees:
https://s3.amazonaws.com/hr-challenge-images/0/1483203734-79b5233ce8-jenny8.png
The last
subtrees are considered to be the same (i.e., they all consist of two nodes connected by one edge), so we print
as our answer.
Sample Input 1
7 3
1 2
2 3
3 4
4 5
5 6
6 7
Sample Output 1
4
Explanation 1
In the diagram below, blue nodes denote the possible subtrees:
https://s3.amazonaws.com/hr-challenge-images/0/1483203649-c8f47679bb-jenny7.png
Here, we have four possible different subtrees.",
https://www.hackerrank.com/challenges/largest-rectangle?isFullScreen=true,"Skyline Real Estate Developers
is planning to demolish a number of old, unoccupied buildings and construct a shopping mall in their place. Your task is to find the largest solid area in which the mall can be constructed.
There are a number of buildings in a certain two-dimensional landscape. Each building has a height, given by
. If you join
adjacent buildings, they will form a solid rectangle of area
.
Example
A rectangle of height
and length
can be constructed within the boundaries.  The area formed is
.
Function Description
Complete the function
largestRectangle
int the editor below.  It should return an integer representing the largest rectangle that can be formed within the bounds of consecutive buildings.
largestRectangle has the following parameter(s):
int h[n]:
the building heights
Returns
-
long:
the area of the largest rectangle that can be formed within the bounds of consecutive buildings
Input Format
The first line contains
, the number of buildings.
The second line contains
space-separated integers, each the height of a building.
Constraints
Sample Input
STDIN       Function
-----       --------
5           h[] size n = 5
1 2 3 4 5   h = [1, 2, 3, 4, 5]
Sample Output
9
Explanation
An illustration of the test case follows.
https://s3.amazonaws.com/hr-challenge-images/8136/1436794554-75e178e325-drawing47.svg",
