id,question,a,b,c,d,correct,difficulty,category,tags
1,"Two Sum
Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order. ",Use a brute-force approach with nested loops to check all possible pairs of numbers.,Sort the array and use binary search to find the complement of each number.,Use recursion to explore all possible combinations of numbers.,Iterate through the array and keep track of the minimum difference from the target.,"Use a hash map to store each number and its index, then check if the complement exists in the map.",Easy,algorithms,"Array,Hash Table"
2,"Add Two Numbers
You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself. ","Use a hash map to store the digits and their positions, then perform addition based on position values","Recursively add the digits from the head nodes, returning a new list if the result is less than 10","Convert both lists to strings, concatenate them, and convert the resulting string back to a linked list",Subtract the smaller number from the larger and rebuild the smaller number's linked list,"Traverse both lists node-by-node, adding digits with carry, and build a new list for the result",Medium,algorithms,"Linked List,Math,Recursion"
3,"Longest Substring Without Repeating Characters
Given a string s, find the length of the longest substring without duplicate characters. ","Use a sliding window approach, resetting the window start index whenever a repeated character is encountered but only after calculating current substring length.",Sort the string and then iterate through it to find the longest substring.,Generate all possible substrings and check each for repeating characters; return the length of the longest valid substring.,Employ dynamic programming to store lengths of all substrings ending at each index.,"Use a sliding window approach with a hash map (or set) to track characters in the current window, updating the start index when a duplicate is found.",Medium,algorithms,"Hash Table,String,Sliding Window"
4,"Median of Two Sorted Arrays
Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)). ","Use a hash table to count the frequency of each number, then iterate from smallest to largest to find the median.","Merge the arrays, then calculate the median directly using the length of the merged array. This has O(m+n) time complexity.","Sort both arrays independently using an O(n log n) algorithm, then find the median of the concatenated result.","Perform a linear scan across both arrays simultaneously, tracking elements until the middle is reached.",Use binary search to find the partition points in both arrays such that all elements to the left are smaller than elements to the right.,Hard,algorithms,"Array,Binary Search,Divide and Conquer"
5,"Longest Palindromic Substring
Given a string s, return the longest palindromic substring in s. ",Use dynamic programming with a 2D table storing palindrome information for all substrings,"Employ a recursive approach, checking all possible substrings for palindrome property.",Sort the string and identify common subsequences as potential palindromes.,Reverse the string and find the longest common substring with the original string.,"Apply the expanding center approach, checking for palindromes around each character and pair of characters.",Medium,algorithms,"String,Dynamic Programming"
6,"Zigzag Conversion
The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility) And then read line by line: ""PAHNAPLSIIGYIR"" Write the code that will take a string and make this conversion given a number of rows: ",Hash each character based on its row index in the zigzag pattern and then concatenate the hash values.,Sort the string alphabetically and then redistribute characters based on row indices.,Use a matrix to store the zigzag pattern and read the matrix row by row to form the converted string.,Reverse the input string and apply a standard string reversal algorithm.,"Calculate the row index for each character based on the zigzag pattern and append it to the corresponding row string, then concatenate the row strings.",Medium,algorithms,String
7,"Reverse Integer
Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned). ","Using strings to represent the numbers allows easy reversal, but doesn't address overflow correctly.",Reversing the number by repeatedly dividing by 10 and multiplying by 10 in each step.,Shifting the integer bits to the left and then using bitwise OR to add the last digit.,Using an array to store the reversed digits and then reconstructing the integer.,Repeatedly popping the last digit using the modulo operator and building the reversed integer while checking for overflow before multiplication.,Medium,algorithms,Math
8,"String to Integer (atoi)
Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer. The algorithm for myAtoi(string s) is as follows: Return the integer as the final result. ",Assume all non-numeric characters are valid and should be converted to their ASCII integer representation.,"Ignore leading and trailing whitespaces, but any whitespace in between digits is significant and ends the conversion.","Only positive integers are supported. Negative signs and '+' signs are ignored, and the conversion begins at the first digit encountered.","If the resulting integer is outside the 32-bit signed integer range, return 0.","Read and ignore leading whitespace, handle optional sign, read digits until a non-digit character or end of string is found, and clamp the result to the 32-bit signed integer range.",Medium,algorithms,String
9,"Palindrome Number
Given an integer x, return true if x is a palindrome, and false otherwise. ",Convert the number to a string and check if the reversed string is equal to the original.,"Iterate through half of the number, comparing digits at corresponding positions from the beginning and end, using string conversion.",Use bitwise operations to reverse the number and compare it with the original.,Recursively divide the number by 10 until a single digit is reached and compare with the original number using a global variable.,Reverse the number without using extra space and compare it to the original number.,Easy,algorithms,Math
10,"Regular Expression Matching
Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: The matching should cover the entire input string (not partial). ","Backtracking: Explore all possible matching combinations recursively, pruning branches that don't lead to a full match.",Brute Force: Generate all possible strings from the pattern and compare them against the input string.,"Greedy Matching: At each step, match the longest possible substring allowed by the pattern.",Memoization: Store results of subproblems involving the pattern and input up to certain indices and reuse the values to avoid redundant computation.,"Dynamic Programming: Build a table to store whether substrings of 's' match substrings of 'p', handling base cases and transitions for '.' and '*'.",Hard,algorithms,"String,Dynamic Programming,Recursion"
